text	label
이 히말라야 산맥이	['TRV-B', 'TRV-I', 'TRV-I']
우리는 인간이다 하지만 유인원의 승리를 봐야만 한다 하지만 이는 괴로움이 아니다 이유는 앞서 연거푸 언급했던 시저와 그가 이끄는 유인원 무리의 휴머니티 때문이다 그 어떤 인간 군상보다 아름다운 내면과 따듯한 포옹을 할 줄 아는 유인원 무리는 오히려 우리를 반성하게 만든다 아름다운 내면과 따듯한 포옹을 할 줄 아는 유인원 무리는 오히려 우리를 반성하게 만든다	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'MOV-B', 'MOV-I', 'MOV-B', 'MOV-I', 'MOV-I', 'MOV-I', 'MOV-I', 'O', 'O', 'MOV-B', 'MOV-I', 'MOV-I', 'MOV-I']
저희아들은 코감기로	['O', 'O']
깜깜한 밤이면 #무드등 기능으로	['O', 'O', 'O', 'O']
순한성분으로 아기부터 엄마까지 온가족이 사용가능한 수분폭탄 #순한화장품 굿굿	['PDT-B', 'PDT-B', 'PDT-I', 'PDT-I', 'PDT-I', 'PDT-B', 'PDT-B', 'PDT-B']
열심히 발라줘야겠어요	['PDT-B', 'PDT-I']
#삼겹등갈비 #막국수 를 뿌시고	['O', 'O', 'O', 'O']
주인공의 이름이자 영화 제목인 다찌마와Lee	['O', 'O', 'O', 'O', 'O']
외출할때 메이크업하기전	['O', 'O']
특히 아이오페의 피부측정은 티켓팅 만렙도	['O', 'O', 'O', 'O', 'O']
평소 좋아하는 핸드 #더블유드레스룸 #신상핸드크림 출시	['PDT-B', 'PDT-I', 'O', 'O', 'O', 'O']
아윤채 #컴플리트리뉴에센스오일 도	['O', 'O', 'O']
나이트케어가 중요하지만	['O', 'O']
#휘피크림거품 #딥클렌징 #순한클렌징폼 #ewg그린 #화해1위 #클렌징폼추천 #폼클렌징추천 #휘핑크림폼 #클렌징 #클렌져 #폼클렌징 #뷰티 #뷰티그램 #뷰티스타그램 #뷰티템	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
추천해주고 싶어요	['PDT-B', 'PDT-I']
#이지플러스 #이지PLUS #이지푸드플러스 #easy #팩토리얼 #주방용품#요리 #홈쿡 #포장비닐#실링기 #실링기계#밴딩기 #비닐접착기#비닐실링기#포장기기#비닐포장기기#주부인플루언서#주부스타그램#주방스타그램#살림	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
해리포터와 마법사의 돌 20011214	['O', 'O', 'O', 'O']
너무 귀여운 #아기상어 그림이 있어서	['PDT-B', 'PDT-I', 'O', 'O', 'O']
변기의 약 20배에 달하는 세균이 번식한다네요	['O', 'O', 'O', 'O', 'O', 'O']
#이안비즈다리미판 #이안비즈 #원목다리미판	['O', 'O', 'O']
전용 받침대의 경사면으로 물빠짐과 물빠짐과	['O', 'O', 'O', 'O', 'PDT-B']
솔아 얼집 보내놓고	['O', 'O', 'O']
더 심한데 #기초케어 관리만 잘해도	['O', 'O', 'O', 'O', 'O']
엘리오의 집에 머물게 된 미국인 올리버	['O', 'O', 'O', 'O', 'O', 'O']
약산성	['O']
올 겨울 제 피부는	['O', 'O', 'O', 'O']
비급영화 병맛컨셉 시청 잘 했구여	['MOV-B', 'MOV-B', 'MOV-B', 'MOV-I', 'MOV-I']
먹다 버리긴 처음인 그런 케익	['TRV-B', 'TRV-I', 'TRV-I', 'TRV-I', 'TRV-I']
빛났던 락그룹 중 하나인 데블스에 대한 음악영화다	['O', 'O', 'O', 'O', 'O', 'O', 'O']
여름에도 매끈하고 촉촉하게 매끈하고 촉촉하게	['O', 'O', 'O', 'PDT-B', 'PDT-B']
이제 슬슬 기저귀와 안뇽 해야하려나	['O', 'O', 'O', 'O', 'O']
생기있는입술	['PDT-B']
도착했는데 완전 이쁨니다 완전 이쁨니다	['O', 'O', 'O', 'PDT-B', 'PDT-I']
#하이라이터 하나로 윤곽까지 살리고 윤곽까지 살리고	['O', 'O', 'O', 'O', 'PDT-B', 'PDT-I']
#여행스타그램 #다리피로 #여행선물	['O', 'O', 'O']
그 이후로는 #Y존케어 는 무조건 여성청결제 사용하고 있는데 궁중비책 여성청결제 사용해보니 #여성청결제추천 할만큼 괜찮은 제품인 듯 추천 할만큼 괜찮은 제품인 듯	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PDT-B', 'PDT-I', 'PDT-B', 'O', 'O']
